Gold_Medals,Silver_Medals,Total,Bronze_Medals,State
46,37,121,38,['United States']
26,18,70,26,['China']
27,23,67,17,['Great Britain']
19,18,56,19,['Russia']
17,10,42,15,['Germany']
10,18,42,14,['France']
12,8,41,21,['Japan']
8,11,29,10,['Australia']
8,12,28,8,['Italy']
4,3,22,15,['Canada']
9,3,21,9,['South Korea']
8,7,19,4,['Netherlands']
7,6,19,6,['Brazil']
4,9,18,5,['New Zealand']
1,7,18,10,['Azerbaijan']
7,4,17,6,['Spain']
3,5,17,9,['Kazakhstan']
8,3,15,4,['Hungary']
2,6,15,7,['Denmark']
6,6,13,1,['Kenya']
4,2,13,7,['Uzbekistan']
6,3,11,2,['Jamaica']
5,2,11,4,['Cuba']
2,6,11,3,['Sweden']
2,5,11,4,['Ukraine']
2,3,11,6,['Poland']
5,3,10,2,['Croatia']
2,6,10,2,['South Africa']
1,2,10,7,['Czech Republic']
1,4,9,4,['Belarus']
3,2,8,3,['Colombia']
3,1,8,4,['Iran']
2,4,8,2,['Serbia']
1,3,8,4,['Turkey']
1,2,8,5,['Ethiopia']
3,2,7,2,['Switzerland']
2,3,7,2,['North Korea']
2,1,7,4,['Georgia']
3,1,6,2,['Greece']
2,2,6,2,['Belgium']
2,2,6,2,['Thailand']
1,1,5,3,['Romania']
0,4,5,1,['Malaysia']
0,3,5,2,['Mexico']
3,1,4,0,['Argentina']
2,2,4,0,['Slovakia']
1,3,4,0,['Armenia']
1,2,4,1,['Slovenia']
0,1,4,3,['Lithuania']
0,0,4,4,['Norway']
1,2,3,0,['Indonesia']
1,0,3,2,['Chinese Taipei']
0,1,3,2,['Bulgaria']
0,1,3,2,['Venezuela']
0,0,3,3,['Egypt']
0,0,3,3,['Tunisia']
1,1,2,0,['Bahrain']
1,1,2,0,['Vietnam']
1,0,2,1,['Bahamas']
1,0,2,1,["Côte d'Ivoire"]
1,0,2,1,['Independent Olympic Athletes']
0,2,2,0,['Algeria']
0,2,2,0,['Ireland']
0,1,2,1,['India']
0,1,2,1,['Mongolia']
0,0,2,2,['Israel']
1,0,1,0,['Fiji']
1,0,1,0,['Jordan']
1,0,1,0,['Kosovo']
1,0,1,0,['Puerto Rico']
1,0,1,0,['Singapore']
1,0,1,0,['Tajikistan']
0,1,1,0,['Burundi']
0,1,1,0,['Grenada']
0,1,1,0,['Niger']
0,1,1,0,['Philippines']
0,1,1,0,['Qatar']
0,0,1,1,['Austria']
0,0,1,1,['Dominican Republic']
0,0,1,1,['Estonia']
0,0,1,1,['Finland']
0,0,1,1,['Kyrgyzstan']
0,0,1,1,['Morocco']
0,0,1,1,['Moldova']
0,0,1,1,['Nigeria']
0,0,1,1,['Portugal']
0,0,1,1,['Trinidad & Tobago']
0,0,1,1,['UAE']
